Gateway 0 Arrival Rate	Pure Cloud Buffer Occupancy Efficiency of 0	Next Hop Buffer Occupancy Efficiency of 0	Probabilistic DF Buffer Occupancy Efficiency of 0	Pure Cloud Buffer Occupancy Efficiency of 1	Next Hop Buffer Occupancy Efficiency of 1	Probabilistic DF Buffer Occupancy Efficiency of 1	Pure Cloud Buffer Occupancy Efficiency of 2	Next Hop Buffer Occupancy Efficiency of 2	Probabilistic DF Buffer Occupancy Efficiency of 2	Pure Cloud Buffer Occupancy Efficiency of Cloud	Next Hop Buffer Occupancy Efficiency of Cloud	Probabilistic DF Buffer Occupancy Efficiency of Cloud
4500.0	0.0	0.9947531	0.9947617499999998	0.0	0.07012697500000001	0.9976227000000002	0.0	0.0254156125	0.9894356249999999	0.024710897500000002	0.0197292975	0.00224839
4550.0	0.0	0.99475035	0.9948116499999999	0.0	0.06627232499999999	0.9976023750000002	0.0	0.025244237500000006	0.9909103875000002	0.025056077500000003	0.01984748	0.0022505924999999998
4600.0	0.0	0.9948010249999999	0.9948927750000001	0.0	0.0650848	0.9972524	0.0	0.0256919	0.9905589499999999	0.025137852499999995	0.020135767500000006	0.002259835
4650.0	0.0	0.9948845000000001	0.99489855	0.0	0.064569625	0.9972848750000001	0.0	0.024819637500000002	0.9894362624999999	0.025388935	0.02034504	0.0023010075
4700.0	0.0	0.9950782	0.9949058999999998	0.0	0.06717559999999997	0.9974661250000001	0.0	0.024714237499999996	0.992911675	0.0256041925	0.0206072775	0.0023127325
4750.0	0.0	0.99496285	0.9949509750000001	0.0	0.06907730000000001	0.9973015250000001	0.0	0.0251670375	0.9926897875	0.025846940000000002	0.020797262500000004	0.002363415
4800.0	0.0	0.9951300750000002	0.9950680499999999	0.0	0.07270362500000001	0.9976928749999999	0.0	0.0245071375	0.991803025	0.026129887499999997	0.021046025	0.0023644575000000005
4850.0	0.0	0.995141075	0.9951706	0.0	0.06282164999999999	0.9976262250000001	0.0	0.025237799999999998	0.992690125	0.0263277275	0.021374565000000005	0.0024055325
4900.0	0.0	0.9951663249999999	0.9951126499999999	0.0	0.0658026	0.9973696249999999	0.0	0.024437087500000003	0.9923256250000001	0.02651894	0.0215344425	0.00240789
4950.0	0.0	0.9951705250000001	0.9951586500000001	0.0	0.06633439999999999	0.997495925	0.0	0.025304350000000003	0.992307225	0.0268884375	0.0217925075	0.0024715925
5000.0	0.0	0.995290325	0.9954093499999999	0.0	0.06584142500000001	0.9976651999999999	0.0	0.024919700000000003	0.9932527250000002	0.027091159999999996	0.0218813775	0.002494835
1800.0	0.0	0.984165	0.98112075	0.0	0.0623175	0.9831719999999999	0.0	0.025635	0.07900725	0.012116700000000001	0.007130425	7.6435E-4
1850.0	0.0	0.98399125	0.98232075	0.0	0.0683675	0.98889825	0.0	0.02503075	0.075652	0.01231665	0.00752375	8.17275E-4
1900.0	0.0	0.98476125	0.9844342500000001	0.0	0.0742945	0.9846459999999999	0.0	0.025833750000000003	0.085066375	0.012525625	0.007329475	8.51525E-4
1950.0	0.0	0.98377575	0.9840655	0.0	0.0645895	0.9864775	0.0	0.02425525	0.08826862499999999	0.0126996	0.007250899999999999	8.91575E-4
2000.0	0.0	0.983385	0.9840519999999999	0.0	0.07154225	0.981989	0.0	0.026408624999999998	0.0936815	0.012815975	0.0077851	9.1425E-4
2050.0	0.0	0.9856205	0.985058	0.0	0.05731575	0.987158	0.0	0.024428625	0.104613625	0.013424975	0.00805945	9.584999999999999E-4
2100.0	0.0	0.9860837499999999	0.9850157500000001	0.0	0.0631815	0.98604675	0.0	0.02422125	0.099419375	0.013260774999999999	0.007960075	9.01425E-4
Gateway 0 Arrival Rate	Pure Cloud Buffer Occupancy Efficiency of 0	Next Hop Buffer Occupancy Efficiency of 0	Probabilistic DF Buffer Occupancy Efficiency of 0	Pure Cloud Buffer Occupancy Efficiency of 1	Next Hop Buffer Occupancy Efficiency of 1	Probabilistic DF Buffer Occupancy Efficiency of 1	Pure Cloud Buffer Occupancy Efficiency of 2	Next Hop Buffer Occupancy Efficiency of 2	Probabilistic DF Buffer Occupancy Efficiency of 2	Pure Cloud Buffer Occupancy Efficiency of Cloud	Next Hop Buffer Occupancy Efficiency of Cloud	Probabilistic DF Buffer Occupancy Efficiency of Cloud
0.0	0.0	6.766666666666667E-5	8.083333333333334E-5	0.0	0.07033816666666666	0.06735666666666666	0.0	0.025304499999999997	0.02513375	0.002906616666666667	3.6666666666666667E-7	3.3833333333333333E-6
50.0	0.0	0.011155499999999999	0.012672666666666665	0.0	0.06442133333333333	0.06089333333333333	0.0	0.024630416666666665	0.025595416666666666	0.0032220666666666667	1.5833333333333331E-6	3.6999999999999997E-6
100.0	0.0	0.029181833333333334	0.026677499999999996	0.0	0.06031683333333334	0.0635815	0.0	0.025850833333333333	0.024981583333333335	0.0035169999999999997	1.5499999999999998E-6	3.3833333333333333E-6
150.0	0.0	0.04266233333333334	0.04133166666666666	0.0	0.07452733333333333	0.06352383333333333	0.0	0.025453833333333332	0.024885333333333332	0.0039105500000000005	2.533333333333333E-6	2.0E-6
200.0	0.0	0.06172333333333333	0.066595	0.0	0.07785266666666667	0.055996	0.0	0.024454583333333335	0.02439008333333333	0.004219433333333334	2.45E-6	8.833333333333334E-7
250.0	0.0	0.09814033333333333	0.11484016666666667	0.0	0.07318333333333332	0.0633335	0.0	0.024448416666666667	0.025011333333333333	0.004248733333333333	2.0E-6	3.0166666666666664E-6
300.0	0.0	0.12890766666666667	0.20881683333333334	0.0	0.06283933333333334	0.06636116666666667	0.0	0.025317666666666665	0.024810750000000003	0.0046519	1.5499999999999998E-6	2.783333333333334E-6
350.0	0.0	0.33865300000000004	0.30926833333333337	0.0	0.06369366666666666	0.0623975	0.0	0.026754499999999997	0.027082333333333333	0.004983666666666667	1.415E-5	2.616666666666667E-6
400.0	0.0	0.5006128333333334	0.4528311666666667	0.0	0.07529066666666667	0.067398	0.0	0.02466908333333333	0.025954500000000002	0.005016333333333334	1.1401666666666667E-4	1.0549999999999999E-5
450.0	0.0	0.6683110000000001	0.7443399999999999	0.0	0.07067066666666667	0.09914233333333333	0.0	0.02463233333333333	0.028763416666666666	0.00524525	2.6671666666666665E-4	5.321666666666667E-5
500.0	0.0	0.7510293333333333	0.7779381666666666	0.0	0.065137	0.09467316666666666	0.0	0.02388425	0.027955999999999998	0.005465483333333333	3.985833333333333E-4	5.631666666666667E-5
550.0	0.0	0.8515366666666667	0.8218418333333334	0.0	0.06650766666666667	0.1141275	0.0	0.026253416666666664	0.02994925	0.005723916666666666	6.911E-4	9.498333333333334E-5
600.0	0.0	0.8927456666666668	0.8799861666666667	0.0	0.07393183333333332	0.13974	0.0	0.02537091666666667	0.030756166666666668	0.0060954166666666665	0.0010544	1.0301666666666667E-4
650.0	0.0	0.913557	0.8955891666666668	0.0	0.059849999999999993	0.1859301666666667	0.0	0.023866750000000003	0.030240666666666666	0.00617665	0.0012282	1.2843333333333333E-4
700.0	0.0	0.923225	0.9245585	0.0	0.07623266666666667	0.2709981666666667	0.0	0.02472716666666667	0.03451866666666666	0.006398783333333334	0.0014369166666666669	1.843333333333333E-4
750.0	0.0	0.937866	0.9240131666666667	0.0	0.06366516666666666	0.25952166666666665	0.0	0.02393416666666667	0.03527466666666667	0.0067785	0.0016441000000000001	1.9505E-4
800.0	0.0	0.9366748333333333	0.9324198333333333	0.0	0.06564433333333335	0.39937416666666664	0.0	0.024943583333333335	0.037595500000000004	0.006837466666666667	0.0019155333333333335	2.199E-4
850.0	0.0	0.9480045	0.9377816666666666	0.0	0.06784116666666666	0.35230350000000005	0.0	0.025384583333333332	0.035992333333333335	0.007173483333333334	0.0021375666666666668	2.3678333333333333E-4
