Gateway 0 Arrival Rate	Pure Cloud Average Effective Arrival rate of 0	Next Hop Average Effective Arrival rate of 0	Probabilistic DF Average Effective Arrival rate of 0	Pure Cloud Average Effective Arrival rate of 1	Next Hop Average Effective Arrival rate of 1	Probabilistic DF Average Effective Arrival rate of 1	Pure Cloud Average Effective Arrival rate of 2	Next Hop Average Effective Arrival rate of 2	Probabilistic DF Average Effective Arrival rate of 2	Pure Cloud Average Effective Arrival rate of Cloud	Next Hop Average Effective Arrival rate of Cloud	Probabilistic DF Average Effective Arrival rate of Cloud
800.0	0.0	414.0	399.8333333333333	0.0	199.66666666666666	368.1666666666667	0.0	400.3333333333333	580.3333333333334	1356.5	368.3333333333333	43.666666666666664
850.0	0.0	407.5	427.3333333333333	0.0	200.33333333333334	354.8333333333333	0.0	407.0	567.5	1422.0	435.1666666666667	47.666666666666664
900.0	0.0	408.3333333333333	393.1666666666667	0.0	199.5	392.5	0.0	399.8333333333333	617.8333333333334	1480.5	482.3333333333333	59.0
950.0	0.0	414.0	407.0	0.0	207.33333333333334	394.3333333333333	0.0	407.3333333333333	646.6666666666666	1544.6666666666667	543.0	62.666666666666664
1000.0	0.0	418.1666666666667	406.1666666666667	0.0	200.33333333333334	391.0	0.0	400.8333333333333	660.3333333333334	1611.6666666666667	576.0	69.5
1050.0	0.0	401.8333333333333	415.8333333333333	0.0	191.33333333333334	397.6666666666667	0.0	406.0	690.8333333333334	1640.0	642.6666666666666	76.0
1100.0	0.0	409.3333333333333	395.3333333333333	0.0	194.83333333333334	398.0	0.0	390.6666666666667	714.0	1704.1666666666667	690.1666666666666	74.0
1150.0	0.0	408.5	415.3333333333333	0.0	205.33333333333334	404.0	0.0	397.3333333333333	724.6666666666666	1706.1666666666667	750.1666666666666	89.33333333333333
1200.0	0.0	411.6666666666667	406.1666666666667	0.0	200.16666666666666	389.8333333333333	0.0	405.5	752.0	1758.1666666666667	778.3333333333334	93.16666666666667
1250.0	0.0	404.3333333333333	411.8333333333333	0.0	215.33333333333334	399.1666666666667	0.0	404.8333333333333	777.8333333333334	1820.6666666666667	838.5	97.83333333333333
1300.0	0.0	413.5	410.6666666666667	0.0	202.33333333333334	417.0	0.0	408.5	784.1666666666666	1886.3333333333333	862.8333333333334	92.5
1350.0	0.0	417.3333333333333	415.0	0.0	203.33333333333334	408.5	0.0	389.5	797.5	1900.8333333333333	906.5	103.0
1400.0	0.0	416.1666666666667	413.1666666666667	0.0	187.16666666666666	415.3333333333333	0.0	387.5	828.6666666666666	1985.5	945.8333333333334	105.83333333333333
1450.0	0.0	406.8333333333333	403.3333333333333	0.0	201.5	408.5	0.0	393.3333333333333	875.0	2005.5	1021.5	112.0
1500.0	0.0	408.5	408.5	0.0	205.66666666666666	410.1666666666667	0.0	394.8333333333333	883.0	2071.3333333333335	1067.5	118.83333333333333
1550.0	0.0	408.6666666666667	414.3333333333333	0.0	208.33333333333334	414.5	0.0	400.0	898.0	2137.5	1133.6666666666667	132.33333333333334
1600.0	0.0	414.8333333333333	408.8333333333333	0.0	196.83333333333334	416.1666666666667	0.0	396.0	923.6666666666666	2169.0	1157.3333333333333	137.16666666666666
1650.0	0.0	413.5	400.1666666666667	0.0	197.5	409.6666666666667	0.0	400.1666666666667	958.8333333333334	2183.3333333333335	1227.0	143.5
1700.0	0.0	407.8333333333333	410.5	0.0	201.33333333333334	403.0	0.0	413.8333333333333	945.3333333333334	2280.1666666666665	1247.6666666666667	143.33333333333334
1750.0	0.0	406.1666666666667	413.0	0.0	204.16666666666666	396.1666666666667	0.0	412.5	1005.1666666666666	2307.5	1337.1666666666667	141.33333333333334
1800.0	0.0	411.0	407.5	0.0	205.33333333333334	410.8333333333333	0.0	395.5	1016.5	2387.3333333333335	1373.6666666666667	153.83333333333334
1850.0	0.0	403.3333333333333	413.1666666666667	0.0	208.83333333333334	402.8333333333333	0.0	398.5	1039.6666666666667	2439.8333333333335	1410.3333333333333	154.33333333333334
1900.0	0.0	406.1666666666667	410.1666666666667	0.0	203.33333333333334	401.0	0.0	399.1666666666667	1056.8333333333333	2427.0	1454.0	163.0
1950.0	0.0	409.1666666666667	407.8333333333333	0.0	196.66666666666666	404.5	0.0	399.6666666666667	1071.1666666666667	2493.1666666666665	1555.0	167.66666666666666
