Gateway 0 Arrival Rate	Analytical Avg Gateway Buffer Occupancy Efficiency of 0	Simulation Avg Gateway Buffer Occupancy Efficiency of 0	Analytical Avg Gateway Buffer Occupancy Efficiency of 1	Simulation Avg Gateway Buffer Occupancy Efficiency of 1	Analytical Avg Gateway Buffer Occupancy Efficiency of 2	Simulation Avg Gateway Buffer Occupancy Efficiency of 2	Analytical Avg Gateway Buffer Occupancy Efficiency of Cloud	Simulation Avg Gateway Buffer Occupancy Efficiency of Cloud
3550.0	0.9936507936507937	0.992996375	0.9829892546282283	0.996668	0.8224347729293002	0.8461563249999999	0.0017863189247975066	0.0017113025
3600.0	0.99375	0.9930691749999999	0.9832994364361053	0.996632275	0.8371517582888014	0.847965475	0.0018146731934450865	0.0017380275
3650.0	0.9938461538461538	0.99326805	0.9835985088209547	0.9962624499999999	0.8499096484561862	0.88895985	0.0018430274620926655	0.001785055
3700.0	0.9939393939393939	0.9933084500000001	0.9838870581226711	0.9966932750000002	0.8610101963529659	0.8944145500000001	0.0018713817307402447	0.001822435
3750.0	0.9940298507462686	0.9935009749999999	0.9841656301329055	0.99638405	0.870712251334424	0.9140062624999998	0.0018997359993878239	0.0018684550000000002
3800.0	0.9941176470588236	0.9935183000000002	0.9844347335406303	0.9966325249999999	0.8792343449922522	0.9256799749999999	0.0019280902680354037	0.0018705524999999997
3850.0	0.9942028985507246	0.9936241499999999	0.9846948430322314	0.9968870249999998	0.8867591382558666	0.9403954374999998	0.0019564445366829835	0.001884575
3900.0	0.9942857142857143	0.9939492999999999	0.984946402085882	0.9968603999999999	0.8934384464999404	0.9524138500000001	0.0019847988053305634	0.0019671825
3950.0	0.9943661971830986	0.9939813	0.9851898254947938	0.9965885999999999	0.8993981326733536	0.9634223250000001	0.0020131530739781424	0.0019239800000000005
4000.0	0.9944444444444445	0.993867925	0.985425501649555	0.99702415	0.9047425251284669	0.969652325	0.0020415073426257218	0.001940335
4050.0	0.9945205479452055	0.9941194249999998	0.9856537946059639	0.9969800249999998	0.909558234043644	0.9764575500000001	0.002069861611273301	0.00199904
4100.0	0.9945945945945944	0.9942283250000001	0.9858750459615233	0.9971138750000001	0.913917358966841	0.98156505	0.00209821587992088	0.001995605
4150.0	0.9946666666666666	0.994069425	0.986089576560925	0.9969554	0.917880137972541	0.9820330875	0.00212657014856846	0.0020719824999999997
4200.0	0.9947368421052634	0.9942410249999998	0.986297688048451	0.9970503	0.9214971118118435	0.9836847125	0.0021549244172160394	0.0020455925
4250.0	0.9948051948051949	0.9943463000000001	0.9864996642830691	0.9971029	0.9248108803959564	0.9863061	0.0021832786858636192	0.0021001775000000006
4300.0	0.9948717948717951	0.994440475	0.9866957726301979	0.9971781	0.9278575236367997	0.99039515	0.0022116329545111995	0.0021124175
4350.0	0.9949367088607595	0.9945946250000001	0.9868862651424972	0.9969976	0.9306677495487774	0.9890950000000001	0.0022399872231587776	0.0021763325
4400.0	0.9950000000000001	0.994434175	0.9870713796406468	0.9970186	0.9332678225165056	0.9914141500000001	0.0022683414918063575	0.0021938725
4450.0	0.9950617283950617	0.9945561499999999	0.9872513407038628	0.9974930500000001	0.935680315187776	0.9916792624999999	0.0022966957604539373	0.0021681825
4500.0	0.9951219512195122	0.9947617499999998	0.9874263605788254	0.9976227000000002	0.9379247191595439	0.9894356249999999	0.0023250500291015163	0.00224839
4550.0	0.9951807228915663	0.9948116499999999	0.9875966400147499	0.9976023750000002	0.9400179426464244	0.9909103875000002	0.002353404297749096	0.0022505924999999998
4600.0	0.9952380952380953	0.9948927750000001	0.9877623690315099	0.9972524	0.9419747175989921	0.9905589499999999	0.0023817585663966755	0.002259835
4650.0	0.9952941176470589	0.99489855	0.9879237276269949	0.9972848750000001	0.9438079341245121	0.9894362624999999	0.0024101128350442545	0.0023010075
4700.0	0.9953488372093023	0.9949058999999998	0.9880808864292296	0.9974661250000001	0.9455289163806441	0.992911675	0.002438467103691834	0.0023127325
4750.0	0.9954022988505746	0.9949509750000001	0.9882340072982361	0.9973015250000001	0.9471476511941447	0.9926897875	0.0024668213723394133	0.002363415
4800.0	0.9954545454545454	0.9950680499999999	0.9883832438820853	0.9976928749999999	0.9486729783520197	0.991803025	0.002495175640986993	0.0023644575000000005
4850.0	0.995505617977528	0.9951706	0.9885287421311657	0.9976262250000001	0.9501127496960144	0.992690125	0.0025235299096345726	0.0024055325
4900.0	0.9955555555555555	0.9951126499999999	0.9886706407742822	0.9973696249999999	0.9514739627197011	0.9923256250000001	0.0025518841782821533	0.00240789
