Gateway 0 Arrival Rate	Analytical Buffer Occupancy of 0	Simulation Buffer Occupancy of 0	Analytical Buffer Occupancy of 1	Simulation Buffer Occupancy of 1	Analytical Buffer Occupancy of 2	Simulation Buffer Occupancy of 2	Analytical Buffer Occupancy of Cloud	Simulation Buffer Occupancy of Cloud
3400.0	19.866666666666667	19.857691	19.639709946028773	19.936381500000003	30.518038682327724	30.9861735	0.3402512237709537	0.33276849999999997
3450.0	19.868852459016395	19.8563735	19.646659823554565	19.928240499999998	31.428694270188537	31.190713999999996	0.3459220775004696	0.3411145
3500.0	19.870967741935484	19.856237	19.65334665344769	19.9222275	32.216616573790645	32.194148	0.35159293122998536	0.337682
3550.0	19.873015873015873	19.859927499999998	19.659785092564565	19.93336	32.89739091717201	33.846253000000004	0.35726378495950134	0.3422605
3600.0	19.875	19.8613835	19.665988728722105	19.9326455	33.48607033155206	33.918619	0.3629346386890173	0.34760549999999996
3650.0	19.876923076923077	19.865361	19.671970176419094	19.925249	33.99638593824745	35.558394	0.3686054924185331	0.357011
3700.0	19.87878787878788	19.866169000000003	19.677741162453422	19.9338655	34.44040785411864	35.776582	0.37427634614804894	0.36448699999999995
3750.0	19.88059701492537	19.870019499999998	19.68331260265811	19.927681000000003	34.82849005337696	36.560250499999995	0.37994719987756476	0.37369099999999994
3800.0	19.88235294117647	19.870366	19.688694670812605	19.9326505	35.169373799690085	37.027198999999996	0.38561805360708074	0.3741105
3850.0	19.884057971014492	19.872483000000003	19.693896860644628	19.9377405	35.470365530234666	37.615817500000006	0.3912889073365967	0.376915
3900.0	19.885714285714286	19.878985999999998	19.69892804171764	19.937208	35.737537859997616	38.096554000000005	0.3969597610661127	0.3934365
3950.0	19.887323943661972	19.879626	19.703796509895877	19.931772000000002	35.975925306934144	38.536893000000006	0.40263061479562845	0.38479599999999997
4000.0	19.88888888888889	19.8773585	19.7085100329911	19.940483	36.18970100513867	38.786093	0.4083014685251444	0.388067
4050.0	19.89041095890411	19.882388499999998	19.713075892119278	19.9396005	36.38232936174576	39.05830200000001	0.41397232225466024	0.39980800000000005
4100.0	19.891891891891888	19.8845665	19.717500919230467	19.9422775	36.55669435867364	39.262602	0.41964317598417605	0.399121
4150.0	19.89333333333333	19.8813885	19.7217915312185	19.939107999999997	36.71520551890164	39.2813235	0.425314029713692	0.41439649999999995
4200.0	19.894736842105267	19.884820499999996	19.72595376096902	19.941006	36.85988447247374	39.3473885	0.43098488344320784	0.40911849999999994
4250.0	19.8961038961039	19.886926	19.729993285661383	19.942058	36.992435215838256	39.452244	0.4366557371727239	0.4200355
4300.0	19.8974358974359	19.8888095	19.73391545260396	19.943561999999996	37.11430094547199	39.615806	0.4423265909022399	0.42248349999999996
4350.0	19.89873417721519	19.8918925	19.737725302849945	19.939951999999998	37.226709981951096	39.5638	0.44799744463175556	0.4352665
4400.0	19.900000000000002	19.8886835	19.741427592812936	19.940372	37.330712900660224	39.656566	0.4536682983612715	0.43877449999999996
4450.0	19.901234567901234	19.891123	19.745026814077256	19.949861	37.42721260751104	39.667170500000005	0.45933915209078746	0.4336365
4500.0	19.902439024390244	19.895234999999996	19.74852721157651	19.952454	37.51698876638176	39.57742499999999	0.4650100058203032	0.4496779999999999
4550.0	19.903614457831328	19.896233000000002	19.751932800295	19.952047500000003	37.60071770585697	39.636415500000005	0.4706808595498192	0.4501185
4600.0	19.904761904761905	19.8978555	19.7552473806302	19.945048	37.67898870395968	39.622358	0.47635171327933507	0.45196700000000006
4650.0	19.905882352941177	19.897971000000002	19.758474552539898	19.9456975	37.752317364980485	39.5774505	0.4820225670088509	0.4602015
4700.0	19.906976744186046	19.898118	19.761617728584593	19.9493225	37.821156655225764	39.716467	0.4876934207383668	0.4625465
4750.0	19.908045977011493	19.899019499999998	19.76468014596472	19.9460305	37.885906047765786	39.7075915	0.49336427446788267	0.4726830000000001
4800.0	19.909090909090907	19.901361	19.767664877641707	19.9538575	37.94691913408079	39.67212099999999	0.49903512819739865	0.4728914999999999
